epoch,mean_pnl,win_rate,mean_fills,epsilon,mean_loss
1,56.2250,1.0000,5233.0,0.961802,0.000000
2,54.8800,1.0000,5180.0,0.925250,0.000000
3,51.7833,1.0000,5162.7,0.890222,0.000000
4,51.3117,1.0000,5142.0,0.856802,0.000000
5,54.6967,1.0000,5116.7,0.824751,0.000000
6,56.6767,1.0000,5116.0,0.794029,0.000000
7,57.5900,1.0000,5037.3,0.764540,0.000000
8,58.8317,1.0000,4962.7,0.736328,0.000000
9,56.4767,1.0000,5019.0,0.709164,0.000000
10,57.5200,1.0000,4940.7,0.683058,0.000000
11,52.2383,1.0000,4946.7,0.657920,0.000000
12,56.4417,1.0000,4984.7,0.633821,0.000000
13,52.4083,1.0000,4928.7,0.610641,0.000000
14,53.0450,1.0000,4930.7,0.588301,0.000000
15,51.8733,1.0000,4935.0,0.566732,0.000000
16,50.4583,1.0000,4780.3,0.546177,0.000000
17,53.0517,1.0000,4787.0,0.526346,0.000000
18,52.8233,1.0000,4747.3,0.507351,0.000000
19,58.5967,1.0000,4915.0,0.489053,0.000000
20,49.3950,1.0000,4816.3,0.471312,0.000000
21,50.8000,1.0000,4758.3,0.454494,0.000000
22,52.3800,1.0000,4749.0,0.438151,0.000000
23,50.6533,1.0000,4872.3,0.422315,0.000000
24,55.7133,1.0000,4852.0,0.406960,0.000000
25,56.8683,1.0000,4872.0,0.392246,0.000000
26,55.4717,1.0000,4842.0,0.378257,0.000000
27,54.6550,1.0000,4824.7,0.364616,0.000000
28,50.8817,1.0000,4808.3,0.351463,0.000000
29,56.0283,1.0000,4753.7,0.338893,0.000000
30,54.8750,1.0000,4690.3,0.326706,0.000000
31,57.6183,1.0000,4696.0,0.315051,0.000000
32,55.1217,1.0000,4801.3,0.303602,0.000000
33,53.1783,1.0000,4682.7,0.292851,0.000000
34,56.3100,1.0000,4705.7,0.282454,0.000000
35,51.5733,1.0000,4628.7,0.272396,0.000000
36,55.5567,1.0000,4886.0,0.262596,0.000000
37,54.3883,1.0000,4760.0,0.253177,0.000000
38,50.1600,1.0000,4882.7,0.244055,0.000000
39,52.5000,1.0000,4799.3,0.235272,0.000000
40,60.3917,1.0000,5003.7,0.226687,0.000000
41,50.2567,1.0000,4726.7,0.218539,0.000000
42,62.0550,1.0000,5011.7,0.210620,0.000000
43,53.4850,1.0000,4838.0,0.202923,0.000000
44,53.9550,1.0000,5031.3,0.195581,0.000000
45,55.9683,1.0000,4747.0,0.188554,0.000000
46,59.4117,1.0000,4796.0,0.181819,0.000000
47,54.8800,1.0000,4875.3,0.175148,0.000000
48,60.4117,1.0000,4964.3,0.168823,0.000000
49,55.2117,1.0000,4807.0,0.162668,0.000000
50,54.7000,1.0000,4683.0,0.156785,0.000000
51,57.8267,1.0000,4799.7,0.151184,0.000000
52,51.0883,1.0000,4826.0,0.145712,0.000000
53,54.8050,1.0000,4819.7,0.140345,0.000000
54,59.6017,1.0000,4947.3,0.135260,0.000000
55,58.1750,1.0000,4795.7,0.130297,0.000000
56,57.1783,1.0000,5007.7,0.125539,0.000000
57,58.1083,1.0000,4836.3,0.121062,0.000000
58,55.2633,1.0000,4888.0,0.116610,0.000000
59,64.9183,1.0000,4987.0,0.112401,0.000000
60,50.7550,1.0000,4713.7,0.108198,0.000000
61,49.9967,1.0000,4670.7,0.104224,0.000000
62,56.6400,1.0000,4949.7,0.100441,0.000000
63,54.0450,1.0000,4705.0,0.096769,0.000000
64,56.1567,1.0000,4705.0,0.093196,0.000000
65,56.7000,1.0000,4969.0,0.089808,0.000000
66,68.4533,1.0000,5339.3,0.086550,0.000000
67,56.6850,1.0000,4640.3,0.083408,0.000000
68,63.6517,1.0000,5210.3,0.080392,0.000000
69,56.3817,1.0000,4869.7,0.077386,0.000000
70,63.3433,1.0000,5139.7,0.074578,0.000000
71,58.9700,1.0000,5032.3,0.071766,0.000000
72,63.0483,1.0000,5215.0,0.069143,0.000000
73,57.0533,1.0000,4897.0,0.066625,0.000000
74,55.7883,1.0000,4862.3,0.064151,0.000000
75,56.5850,1.0000,5120.0,0.061779,0.000000
76,62.4700,1.0000,5016.7,0.059437,0.000000
77,57.1183,1.0000,5045.0,0.057162,0.000000
78,54.7500,1.0000,4790.3,0.055003,0.000000
79,72.6350,1.0000,5855.3,0.052902,0.000000
80,57.2283,1.0000,5241.7,0.050885,0.000000
81,56.5133,1.0000,4813.3,0.048984,0.000000
82,63.3050,1.0000,5438.3,0.047167,0.000000
83,56.8767,1.0000,5227.7,0.045379,0.000000
84,54.6567,1.0000,5023.3,0.043613,0.000000
85,63.2700,1.0000,5242.3,0.042003,0.000000
86,61.7617,1.0000,5510.3,0.040442,0.000000
87,56.2217,1.0000,5149.3,0.038859,0.000000
88,63.3367,1.0000,5405.0,0.037350,0.000000
89,57.3500,1.0000,5172.7,0.035868,0.000000
90,68.6467,1.0000,5189.7,0.034536,0.000000
91,63.3717,1.0000,5334.3,0.033241,0.000000
92,59.1383,1.0000,5142.0,0.031955,0.000000
93,62.9583,1.0000,5435.0,0.030764,0.000000
94,61.5633,1.0000,5309.3,0.029576,0.000000
95,66.6050,1.0000,5032.0,0.028491,0.000000
96,61.9317,1.0000,5031.0,0.027371,0.000000
97,66.9150,1.0000,5209.0,0.026372,0.000000
98,61.9183,1.0000,5195.0,0.025375,0.000000
99,57.2383,1.0000,5398.7,0.024371,0.000000
100,63.3417,1.0000,5310.3,0.023454,0.000000
101,58.8833,1.0000,5253.3,0.022594,0.000000
102,55.4450,1.0000,4944.7,0.021726,0.000000
103,57.1567,1.0000,5422.0,0.020811,0.000000
104,47.9283,1.0000,5218.7,0.020000,0.000000
105,54.9350,1.0000,4974.3,0.020000,0.000000
106,63.2083,1.0000,5054.7,0.020000,0.000000
107,57.1150,1.0000,5508.3,0.020000,0.000000
108,56.5917,1.0000,5123.7,0.020000,0.000000
109,55.3433,1.0000,5354.7,0.020000,0.000000
110,52.2333,1.0000,5468.0,0.020000,0.000000
111,71.0583,1.0000,5429.7,0.020000,0.000000
112,64.3383,1.0000,5433.0,0.020000,0.000000
113,59.2567,1.0000,5441.0,0.020000,0.000000
114,63.5400,1.0000,5467.7,0.020000,0.000000
115,57.2767,1.0000,4963.7,0.020000,0.000000
116,61.6767,1.0000,5419.3,0.020000,0.000000
117,61.9317,1.0000,5597.3,0.020000,0.000000
118,59.9350,1.0000,5569.3,0.020000,0.000000
119,70.1283,1.0000,5576.0,0.020000,0.000000
120,51.5850,1.0000,5074.3,0.020000,0.000000
121,65.1050,1.0000,5601.0,0.020000,0.000000
122,58.7733,1.0000,5290.0,0.020000,0.000000
123,61.4467,1.0000,5280.0,0.020000,0.000000
124,59.9900,1.0000,5324.7,0.020000,0.000000
125,61.5183,1.0000,5797.0,0.020000,0.000000
126,66.1300,1.0000,5362.0,0.020000,0.000000
127,58.7683,1.0000,5654.7,0.020000,0.000000
128,59.9650,1.0000,5590.3,0.020000,0.000000
129,60.8317,1.0000,5220.3,0.020000,0.000000
130,64.9650,1.0000,5545.3,0.020000,0.000000
131,60.7417,1.0000,5881.0,0.020000,0.000000
132,68.3817,1.0000,5717.3,0.020000,0.000000
133,61.0983,1.0000,5482.0,0.020000,0.000000
134,64.5683,1.0000,5743.0,0.020000,0.000000
135,59.7717,1.0000,5614.0,0.020000,0.000000
