epoch,mean_pnl,win_rate,mean_fills,epsilon,mean_loss
1,-1.3716,0.3333,295.3,0.960997,555818422.563894
2,1.6881,0.3333,309.7,0.923747,5027.843934
3,5.4944,0.6667,317.0,0.887732,12006.052471
4,-2.0158,0.3333,277.7,0.853176,4642.448567
5,-1.2897,0.3333,275.3,0.821066,81442.357758
6,-0.8376,0.3333,288.7,0.789961,25355.111404
7,3.2678,0.6667,361.3,0.760269,52535.073188
8,-1.2956,0.3333,315.3,0.731474,3489.932231
9,-1.5185,0.3333,303.3,0.703709,5975.952682
10,-3.3012,0.3333,313.7,0.676827,12.463554
11,-0.2441,0.3333,290.7,0.651657,18571.138018
12,-3.0556,0.3333,293.7,0.626710,5.446930
13,-0.6336,0.3333,318.0,0.602349,5.050741
14,-3.8211,0.3333,284.0,0.579272,2.968864
15,-2.8127,0.3333,296.3,0.557561,1.393877
16,-0.9311,0.6667,292.0,0.537923,0.007970
17,-0.2759,0.3333,311.0,0.519766,0.003621
18,-0.1092,0.3333,247.3,0.502860,2043.159400
19,-0.6319,0.6667,417.3,0.484761,133146.070806
20,-2.1839,0.3333,301.7,0.467747,776.961630
21,0.4213,0.3333,306.7,0.450898,78.472275
22,-1.2463,0.3333,292.7,0.435778,2092.443937
23,-0.3197,0.3333,356.3,0.419254,102048.960895
24,-1.5514,0.3333,318.0,0.403511,46943.942946
25,4.4389,0.6667,356.7,0.389225,206746.807702
26,2.4423,0.6667,355.3,0.376157,1894.507127
27,0.4704,0.3333,368.0,0.363593,25775.036468
28,-0.6047,0.3333,310.0,0.349991,1880253.790700
29,-0.7644,0.3333,400.3,0.338126,2529093.496305
30,0.6792,0.3333,304.7,0.326211,603744.277991
31,2.0107,0.6667,236.0,0.314761,300769.512081
32,-2.2556,0.3333,591.0,0.305278,6205.816260
33,-0.1688,0.3333,682.7,0.296569,728.387274
34,-2.0761,0.3333,304.7,0.286437,6202.337687
35,1.2794,0.3333,421.3,0.276503,59430.851760
36,-1.3446,0.3333,418.7,0.266955,700854.742197
37,1.1780,0.3333,391.7,0.257950,68266.132660
38,4.9915,1.0000,404.0,0.249578,7.300716
39,-5.5136,0.3333,405.0,0.241645,1.315446
40,0.1877,0.3333,532.3,0.235429,5.285134
41,-0.7647,0.3333,525.3,0.229054,9.591179
42,0.3042,0.3333,859.0,0.223953,3.617337
43,-3.0836,0.3333,357.3,0.215913,0.741683
44,-2.4606,0.3333,283.7,0.208017,0.004027
45,-1.6862,0.3333,331.0,0.201085,0.003373
46,-0.5707,0.3333,257.3,0.194359,0.003019
47,-2.8421,0.3333,316.0,0.187970,0.004289
48,0.9471,0.3333,445.3,0.182141,0.002748
49,0.4548,0.3333,359.3,0.176126,0.003665
50,-1.2565,0.3333,418.3,0.170537,0.003724
51,0.1767,0.3333,332.0,0.165080,0.004225
52,2.8564,0.6667,454.7,0.160170,0.002647
53,-0.5921,0.3333,321.7,0.154913,0.004827
54,-1.7365,0.3333,254.0,0.149157,0.003287
55,-0.2704,0.3333,412.0,0.143845,0.003827
56,-1.2735,0.3333,334.7,0.138750,0.004141
57,2.2085,0.3333,321.3,0.134354,0.004058
58,-1.0008,0.3333,271.3,0.129819,0.002246
59,-1.7984,0.6667,305.7,0.125618,0.003722
60,-0.3398,0.3333,307.3,0.121101,0.003333
