epoch,mean_pnl,win_rate,mean_fills,epsilon,mean_loss
1,1.4962,0.6667,311.3,0.961194,0.000000
2,-0.2335,0.3333,299.0,0.924291,0.000000
3,3.1866,0.6667,297.0,0.888985,0.000000
4,-2.5618,0.3333,293.7,0.855356,0.000000
5,-1.2319,0.3333,293.7,0.823338,0.000000
6,1.7556,0.6667,332.3,0.792714,0.000000
7,-0.6867,0.3333,343.3,0.763112,0.000000
8,0.2816,0.3333,294.3,0.734939,0.000000
9,-0.1788,0.3333,266.7,0.707503,0.000000
10,-0.7009,0.3333,273.3,0.681518,0.000000
11,3.8416,0.6667,287.0,0.656546,0.000000
12,-0.2044,0.6667,292.0,0.632624,0.000000
13,-3.6881,0.3333,316.7,0.609364,0.000000
14,-2.5790,0.3333,308.0,0.587022,0.000000
15,2.9043,0.3333,285.3,0.565698,0.000000
16,-2.2650,0.3333,322.0,0.544684,0.000000
17,-2.0935,0.3333,299.3,0.524754,0.000000
18,0.5969,0.3333,322.0,0.505565,0.000000
19,-1.7601,0.3333,282.3,0.486778,0.000000
20,-1.1736,0.3333,292.7,0.468575,0.000000
21,-1.4523,0.3333,288.0,0.451080,0.000000
22,0.7698,0.3333,292.3,0.435109,0.000000
23,-0.6039,0.3333,298.0,0.418969,0.000000
24,-0.1763,0.3333,311.7,0.403510,0.000000
25,-1.5809,0.3333,278.7,0.388746,0.000000
26,-1.7836,0.3333,296.0,0.374377,0.000000
27,-1.8967,0.3333,303.0,0.360733,0.000000
28,2.0447,1.0000,305.3,0.347319,0.000000
29,3.9472,0.6667,310.7,0.334711,0.000000
30,-1.9214,0.3333,289.3,0.322766,0.000000
31,-1.0696,0.3333,310.7,0.310697,0.000000
32,0.0530,0.3333,266.7,0.299156,0.000000
33,-1.1471,0.3333,363.7,0.288039,0.000000
34,-2.1975,0.3333,297.3,0.277248,0.000000
35,-0.7861,0.6667,288.0,0.267168,0.000000
36,1.7924,0.3333,333.7,0.257493,0.000000
37,-0.1158,0.3333,285.0,0.248036,0.000000
38,2.1970,0.6667,316.3,0.238784,0.000000
39,-0.3082,0.3333,332.7,0.230035,0.000000
40,-2.1484,0.3333,290.0,0.221371,0.000000
41,-3.9022,0.3333,294.0,0.213196,0.000000
42,-0.9773,0.3333,289.3,0.205165,0.000000
43,-1.0791,0.3333,276.7,0.197772,0.000000
44,2.8700,0.3333,306.0,0.190523,0.000000
45,-1.2950,0.3333,344.3,0.183384,0.000000
46,-3.9222,0.3333,266.0,0.176563,0.000000
47,0.8058,0.6667,312.7,0.169908,0.000000
48,2.8946,0.6667,366.3,0.163487,0.000000
49,-0.8696,0.3333,287.7,0.157376,0.000000
50,4.8080,0.6667,284.0,0.151425,0.000000
51,4.2341,0.6667,330.7,0.145785,0.000000
52,-1.0365,0.3333,278.3,0.140250,0.000000
53,-1.1133,0.3333,338.3,0.135015,0.000000
54,-0.6129,0.3333,322.3,0.129908,0.000000
55,4.5711,0.6667,258.0,0.124986,0.000000
56,-1.2633,0.3333,325.0,0.120229,0.000000
57,2.8160,0.6667,278.0,0.115955,0.000000
58,6.2235,0.6667,309.3,0.111555,0.000000
59,-0.4507,0.6667,309.3,0.107356,0.000000
60,-1.3088,0.3333,314.7,0.103330,0.000000
61,4.7630,0.6667,263.7,0.099366,0.000000
62,0.2547,0.6667,311.0,0.095418,0.000000
63,0.7347,0.3333,285.0,0.091698,0.000000
64,-1.5120,0.3333,264.7,0.088125,0.000000
65,-0.6626,0.3333,328.3,0.084702,0.000000
66,-3.0359,0.3333,241.0,0.081394,0.000000
67,0.2272,0.3333,403.0,0.078268,0.000000
68,-1.3606,0.3333,293.3,0.075171,0.000000
69,3.6197,1.0000,207.7,0.072421,0.000000
70,2.5058,0.6667,278.0,0.069590,0.000000
71,-2.4783,0.3333,258.0,0.066835,0.000000
72,-3.0990,0.3333,310.0,0.064221,0.000000
73,-2.6597,0.3333,325.3,0.061716,0.000000
74,0.9692,0.3333,283.7,0.059324,0.000000
75,1.5112,0.3333,295.7,0.056907,0.000000
76,0.0237,0.6667,278.3,0.054633,0.000000
77,-2.6802,0.3333,291.7,0.052463,0.000000
