epoch,mean_pnl,win_rate,mean_fills,epsilon,mean_loss
1,1.6340,0.3333,619.0,0.961152,0.000000
2,-1.2028,0.3333,676.0,0.924611,0.000000
3,1.4344,0.6667,674.7,0.889418,0.000000
4,0.4896,0.3333,642.7,0.855709,0.000000
5,3.2429,0.6667,680.7,0.823609,0.000000
6,0.0466,0.3333,626.7,0.792871,0.000000
7,-0.7150,0.3333,660.0,0.763439,0.000000
8,2.2549,0.3333,682.3,0.735229,0.000000
9,-1.5641,0.3333,684.0,0.707999,0.000000
10,0.9271,0.6667,730.3,0.681979,0.000000
11,2.4287,0.3333,676.3,0.656890,0.000000
12,0.4680,0.3333,672.3,0.632820,0.000000
13,2.3410,0.3333,694.7,0.609638,0.000000
14,-1.4408,0.6667,594.0,0.587379,0.000000
15,-1.6380,0.3333,688.0,0.565515,0.000000
16,1.2197,0.3333,676.0,0.544774,0.000000
17,-0.7473,0.3333,755.0,0.525049,0.000000
18,3.9616,0.3333,722.3,0.506044,0.000000
19,-0.3343,0.3333,673.0,0.487253,0.000000
20,0.7898,0.3333,666.0,0.469682,0.000000
21,1.9930,0.6667,732.0,0.452476,0.000000
22,0.3772,0.6667,691.7,0.435858,0.000000
23,1.4021,0.3333,675.0,0.419968,0.000000
24,2.1800,0.6667,726.0,0.404736,0.000000
25,0.9676,0.3333,673.3,0.390219,0.000000
26,-1.2709,0.6667,698.0,0.376007,0.000000
27,4.6910,0.6667,738.7,0.362422,0.000000
28,2.3879,0.3333,641.0,0.349424,0.000000
29,0.6090,0.6667,710.3,0.336819,0.000000
30,1.4945,0.6667,675.0,0.324352,0.000000
31,-0.0568,0.6667,663.0,0.312454,0.000000
32,2.9418,0.3333,700.0,0.301056,0.000000
33,-0.4222,0.3333,641.3,0.290212,0.000000
34,-1.7144,0.3333,814.7,0.279657,0.000000
35,-1.5681,0.6667,681.0,0.269487,0.000000
36,-0.4878,0.3333,703.7,0.259516,0.000000
37,-1.6861,0.3333,690.7,0.249747,0.000000
38,1.4106,0.3333,647.7,0.240455,0.000000
39,4.9875,0.6667,690.7,0.231782,0.000000
40,-0.7680,0.3333,779.7,0.223331,0.000000
41,-0.1269,0.3333,796.7,0.215159,0.000000
42,3.5325,0.6667,700.3,0.207396,0.000000
43,-1.4299,0.3333,732.0,0.199844,0.000000
44,-1.9228,0.3333,668.0,0.192535,0.000000
45,1.2718,0.3333,695.0,0.185442,0.000000
46,3.9967,0.3333,669.3,0.178604,0.000000
47,4.2001,0.6667,662.0,0.172031,0.000000
48,0.4005,0.3333,862.7,0.166040,0.000000
49,-0.4880,0.3333,710.3,0.159793,0.000000
50,0.4952,0.3333,730.3,0.154044,0.000000
51,3.8972,0.3333,684.0,0.148325,0.000000
52,-6.4327,0.0000,714.7,0.142692,0.000000
53,2.7664,0.6667,721.7,0.137505,0.000000
54,-1.1124,0.6667,742.7,0.132551,0.000000
55,-0.5201,0.3333,737.0,0.127444,0.000000
56,1.5406,0.6667,732.3,0.122715,0.000000
57,0.4164,0.3333,586.3,0.118078,0.000000
58,0.0856,0.3333,682.0,0.113654,0.000000
59,1.6977,0.3333,770.0,0.109306,0.000000
60,6.0040,0.3333,690.7,0.105265,0.000000
61,-2.1507,0.3333,761.0,0.101325,0.000000
62,1.3050,0.6667,831.3,0.097630,0.000000
63,2.8976,0.6667,833.0,0.093941,0.000000
64,-0.8968,0.6667,687.3,0.090262,0.000000
65,2.6266,0.6667,777.7,0.086771,0.000000
66,0.4932,0.6667,664.0,0.083582,0.000000
67,-0.3226,0.3333,710.3,0.080332,0.000000
68,3.5938,0.3333,807.0,0.077488,0.000000
69,-1.0664,0.3333,678.7,0.074553,0.000000
70,-2.0721,0.6667,646.7,0.071685,0.000000
71,0.1707,0.3333,866.0,0.068994,0.000000
72,1.0399,0.6667,809.0,0.066536,0.000000
73,0.2051,0.6667,625.7,0.063961,0.000000
74,1.3951,0.3333,841.7,0.061520,0.000000
75,-1.0885,0.3333,609.7,0.059099,0.000000
76,1.0841,0.6667,707.0,0.056864,0.000000
77,-1.3627,0.6667,571.0,0.054666,0.000000
78,-0.5751,0.6667,560.0,0.052480,0.000000
79,-2.1217,0.3333,581.3,0.050466,0.000000
80,-2.8394,0.3333,590.3,0.048532,0.000000
81,-1.6015,0.3333,615.7,0.046481,0.000000
82,-0.4562,0.3333,627.0,0.044751,0.000000
83,-1.3033,0.6667,705.3,0.043018,0.000000
84,1.3778,0.6667,599.3,0.041283,0.000000
85,3.7384,1.0000,699.7,0.039593,0.000000
86,1.2051,0.3333,671.3,0.038019,0.000000
87,2.8989,0.3333,712.0,0.036461,0.000000
88,0.8591,0.3333,697.3,0.035048,0.000000
89,-0.9782,0.6667,708.3,0.033683,0.000000
90,-0.7184,0.3333,818.3,0.032285,0.000000
91,-5.5557,0.3333,680.7,0.030979,0.000000
92,2.8793,1.0000,739.3,0.029735,0.000000
93,1.6827,0.3333,912.3,0.028599,0.000000
94,3.6463,0.6667,679.0,0.027407,0.000000
95,-0.0712,0.3333,698.0,0.026266,0.000000
96,-0.2242,0.6667,599.7,0.025245,0.000000
97,2.6708,0.6667,896.7,0.024242,0.000000
98,-5.9549,0.3333,602.0,0.023234,0.000000
99,4.4499,0.6667,696.7,0.022281,0.000000
100,4.6207,0.6667,697.3,0.021373,0.000000
101,0.8661,0.3333,653.0,0.020539,0.000000
102,1.5019,0.6667,750.3,0.020000,0.000000
103,-2.8122,0.3333,889.7,0.020000,0.000000
104,3.2417,0.6667,549.3,0.020000,0.000000
105,0.5037,0.6667,617.0,0.020000,0.000000
106,-3.5599,0.3333,687.3,0.020000,0.000000
107,-1.0160,0.3333,546.3,0.020000,0.000000
108,0.9719,0.3333,633.0,0.020000,0.000000
109,7.4101,1.0000,783.7,0.020000,0.000000
110,-0.2228,0.6667,767.3,0.020000,0.000000
